game_id,week,team,epa_total,jogadas,epa_scrimmage,jogadas_scrimmage,season
2017_03_CLE_IND,3,IND,3.453847973893934,88,-1.196171359749691,62,2017
2017_03_DAL_ARI,3,ARI,-6.6318512317252685,101,-4.8076082799020625,75,2017
2017_03_DAL_ARI,3,DAL,7.011845908734321,65,4.206186074297875,44,2017
2017_03_DEN_BUF,3,BUF,0.2893333573894532,86,-1.8351628216103153,60,2017
2017_03_DEN_BUF,3,DEN,-10.039852162866204,91,-5.523954865343876,66,2017
2017_03_HOU_NE,3,HOU,9.174859232867457,91,5.936823566666105,67,2017
2017_03_HOU_NE,3,NE,5.633896455272837,85,5.3403034628573804,61,2017
2017_03_KC_LAC,3,KC,5.664422409101244,71,4.725752031374511,51,2017
2017_03_KC_LAC,3,LAC,-13.32593492582911,89,-11.43136381191419,68,2017
2017_03_LA_SF,3,LA,14.77177948276488,85,20.269558531862447,59,2017
2017_03_LA_SF,3,SF,8.860588721161978,100,2.3330886077211757,75,2017
2017_03_MIA_NYJ,3,MIA,-21.316171245663476,82,-19.93494358228054,63,2017
2017_03_MIA_NYJ,3,NYJ,-4.081960966256545,78,-1.5604051990624868,58,2017
2017_03_NO_CAR,3,CAR,-12.107146557900172,73,-11.107111412488457,59,2017
2017_03_NO_CAR,3,NO,13.884964328785232,73,16.009176493088155,57,2017
2017_03_NYG_PHI,3,NYG,2.9947725594554497,85,1.1963093666779088,64,2017
2017_03_NYG_PHI,3,PHI,3.2830456896497338,96,-1.167041500564375,72,2017
2017_03_OAK_WAS,3,LV,-17.171597259831664,69,-24.279264751592017,47,2017
2017_03_OAK_WAS,3,WAS,0.5701428404588658,86,7.828131176691407,65,2017
2017_03_PIT_CHI,3,CHI,-6.469005028861672,86,-8.12488711228437,62,2017
2017_03_PIT_CHI,3,PIT,-8.854344977268582,77,-1.3104849858611232,59,2017
2017_03_SEA_TEN,3,SEA,4.5233607878925675,93,6.117534011296928,73,2017
2017_03_SEA_TEN,3,TEN,10.341043828595284,94,1.6872007625570888,65,2017
2017_03_TB_MIN,3,MIN,14.260402606458868,90,18.024052113678614,67,2017
2017_03_TB_MIN,3,TB,-2.579212862703251,70,-2.476185904204856,51,2017
2017_04_BUF_ATL,4,ATL,-5.669902432581257,89,-9.17920380157025,72,2017
2017_04_BUF_ATL,4,BUF,5.305100445822499,77,2.413908098456522,57,2017
2017_04_CAR_NE,4,CAR,19.97440346022117,77,17.871620666184526,60,2017
2017_04_CAR_NE,4,NE,14.433449410267494,86,12.604251370441274,67,2017
2017_04_CHI_GB,4,CHI,-11.46401361204228,87,-7.410508782558052,64,2017
2017_04_CHI_GB,4,GB,11.836305323103199,70,11.158103136520367,52,2017
2017_04_CIN_CLE,4,CIN,11.29403885774295,77,8.258974526648661,63,2017
