season,week,real,modelo,spread,erro_modelo,erro_spread
2003,3,7.0,3.608907561953949,6.0,3.391092438046051,1.0
2003,3,15.0,0.15338115096374727,4.5,14.846618849036252,10.5
2003,3,7.0,-9.644234731587858,-7.5,16.644234731587858,14.5
2003,3,1.0,7.996853792152351,3.0,-6.996853792152351,-2.0
2003,3,-3.0,1.1786800718455566,1.5,-4.178680071845557,-4.5
2003,3,-14.0,-0.3789604740777768,1.5,-13.621039525922223,-15.5
2003,3,-1.0,7.051952652663971,7.0,-8.05195265266397,-8.0
2003,3,10.0,-0.11933973147729082,3.0,10.119339731477291,7.0
2003,3,21.0,4.718230133616535,5.5,16.281769866383463,15.5
2003,4,-10.0,4.7643738491416325,3.0,-14.764373849141633,-13.0
2003,4,-7.0,7.001219249460838,4.5,-14.001219249460839,-11.5
2003,4,4.0,-2.3598297830473713,-2.5,6.359829783047371,6.5
2003,4,28.0,-0.20849737245123823,0.0,28.208497372451237,28.0
2003,4,-17.0,3.299470162321592,3.5,-20.29947016232159,-20.5
2003,4,24.0,9.118503544539081,11.5,14.881496455460919,12.5
2003,4,3.0,-0.4294971955660598,3.5,3.42949719556606,-0.5
2003,4,-7.0,-3.7730276767844453,-3.0,-3.2269723232155547,-4.0
2003,4,3.0,7.598192627252689,7.0,-4.598192627252689,-4.0
2003,4,20.0,1.971198189023615,6.0,18.028801810976386,14.0
2003,4,4.0,14.077338045132466,12.0,-10.077338045132466,-8.0
2003,4,-11.0,4.182913083974145,3.0,-15.182913083974146,-14.0
2003,4,-34.0,-1.777545935411717,-1.5,-32.222454064588284,-32.5
2003,4,-15.0,-4.496216948140956,-4.0,-10.503783051859044,-11.0
2003,5,-13.0,-0.7427127677946737,-4.5,-12.257287232205327,-8.5
2003,5,6.0,9.6495476397803,7.0,-3.6495476397803,-1.0
2003,5,6.0,5.318637183579928,7.0,0.681362816420072,-1.0
2003,5,3.0,-7.90359627513269,-3.5,10.90359627513269,6.5
2003,5,17.0,8.119952334986506,7.5,8.880047665013494,9.5
2003,5,22.0,-4.29868519058674,1.0,26.29868519058674,21.0
2003,5,1.0,2.4399339624385252,3.5,-1.4399339624385252,-2.5
2003,5,8.0,0.6747295021239814,1.0,7.325270497876018,7.0
2003,5,-13.0,-0.23231967310426427,1.5,-12.767680326895736,-14.5
2003,5,6.0,3.5476296179496467,3.0,2.4523703820503533,3.0
2003,5,2.0,4.323919893557858,4.5,-2.323919893557858,-2.5
2003,5,7.0,6.933526346622324,7.5,0.06647365337767575,-0.5
2003,5,-20.0,3.9480959806556646,7.0,-23.948095980655665,-27.0
2003,5,-3.0,6.77617118292823,4.5,-9.77617118292823,-7.5
2003,6,6.0,1.2760914912605827,3.5,4.7239085087394175,2.5
2003,6,2.0,-1.2845830479800053,1.0,3.2845830479800053,1.0
2003,6,-6.0,-0.5485934178067984,2.5,-5.451406582193202,-8.5
2003,6,-3.0,7.389053762870482,4.0,-10.389053762870482,-7.0
2003,6,-14.0,-4.130977703567247,-3.5,-9.869022296432753,-10.5
2003,6,11.0,3.2308144974220268,2.5,7.769185502577973,8.5
2003,6,7.0,5.765898983993628,6.5,1.2341010160063721,0.5
2003,6,21.0,7.957703812519745,8.5,13.042296187480254,12.5
2003,6,-22.0,-5.045942679599513,-3.5,-16.954057320400487,-18.5
2003,6,-8.0,-9.160737805062194,-6.5,1.160737805062194,-1.5
2003,6,3.0,9.542193717952081,6.5,-6.542193717952081,-3.5
2003,6,27.0,-1.0834386344243048,-1.0,28.083438634424304,28.0
2003,6,1.0,2.7236929438272917,3.5,-1.7236929438272917,-2.5
2003,6,36.0,4.069725508439277,10.0,31.930274491560724,26.0
2003,7,-28.0,1.2451310376747082,-3.0,-29.245131037674707,-25.0
